year,state,Per capita personal income,Population
1949,DE,1804,316000
1949,FL,1246,2668000
1949,GA,983,3325000
1949,IA,1362,2578000
1949,ID,1297,570000
1949,IL,1690,8670000
1949,IN,1357,3958000
1949,KS,1314,1925000
1949,KY,940,2849000
1949,LA,1082,2634000
1949,MA,1498,4741000
1949,MD,1541,2329000
1949,ME,1214,903000
1949,MI,1523,6332000
1949,MN,1335,2935000
1949,MO,1332,3882000
1949,MS,711,2085000
1949,MT,1433,569000
1949,NC,978,3911000
1949,ND,1231,597000
1949,NE,1361,1302000
1949,NH,1297,533000
1949,NJ,1639,4889000
1949,NM,1188,644000
1949,NV,1868,157000
1949,NY,1738,14892000
1949,OH,1456,7973000
1949,OK,1180,2105000
1949,OR,1641,1431000
1949,PA,1403,10390000
1949,RI,1414,801000
1949,SC,885,2029000
1949,SD,1121,631000
1949,TN,959,3236000
1949,TX,1319,7623000
1949,UT,1295,671000
1949,VA,1185,3292000
1949,VT,1147,369000
1949,WA,1656,2294000
1949,WI,1391,3391000
1949,WV,1016,1930000
1949,WY,1702,277000
1950,AL,919.0,3058000.0
1950,AR,849.0,1908000.0
1950,AZ,1408.0,756000.0
1950,CA,1947.0,10677000.0
1950,CO,1584.0,1325000.0
1950,CT,1918.0,2016000.0
1950,DC,2427.0,806000.0
1950,DE,2082.0,321000.0
1950,FL,1351.0,2810000.0
1950,GA,1087.0,3458000.0
1950,IA,1539.0,2625000.0
1950,ID,1352.0,590000.0
1950,IL,1842.0,8738000.0
1950,IN,1525.0,3967000.0
1950,KS,1481.0,1916000.0
1950,KY,998.0,2936000.0
1950,LA,1132.0,2697000.0
1950,MA,1685.0,4686000.0
1950,MD,1702.0,2355000.0
1950,ME,1226.0,917000.0
1950,MI,1717.0,6407000.0
1950,MN,1447.0,2997000.0
1950,MO,1438.0,3964000.0
1950,MS,780.0,2176000.0
1950,MT,1678.0,593000.0
1950,NC,1095.0,4068000.0
1950,ND,1388.0,619000.0
1950,NE,1583.0,1327000.0
1950,NH,1373.0,532000.0
1950,NJ,1820.0,4872000.0
1950,NM,1260.0,689000.0
1950,NV,2089.0,162000.0
1950,NY,1868.0,14865000.0
1950,OH,1611.0,7980000.0
1950,OK,1164.0,2229000.0
1950,OR,1695.0,1532000.0
1950,PA,1552.0,10507000.0
1950,RI,1601.0,786000.0
1950,SC,943.0,2113000.0
1950,SD,1298.0,655000.0
1950,TN,1040.0,3315000.0
1950,TX,1392.0,7776000.0
1950,UT,1391.0,696000.0
1950,VA,1327.0,3315000.0
1950,VT,1189.0,379000.0
1950,WA,1797.0,2387000.0
1950,WI,1515.0,3438000.0
1950,WV,1051.0,2006000.0
1950,WY,1792.0,290000.0
1951,AL,1071.0,3059000.0
