state,year,household_renter_occ,total_households,household_renter_occ_ratio,household_owner_occ_ratio
MO,2009,1637042.0,5818811.0,0.281336169880754,0.7186638301192461
MO,2010,1672568.0,5822089.0,0.2872797032130563,0.7127202967869437
MO,2011,1722581.0,5836654.0,0.2951315942319006,0.7048684057680994
MO,2012,1755265.0,5847778.0,0.3001593083731975,0.6998406916268025
MO,2013,1789346.0,5869633.0,0.3048480203106395,0.6951519796893605
MO,2014,1817030.0,5888717.0,0.3085612706468998,0.6914387293531001
MO,2015,1866547.0,5908734.0,0.3158962647497755,0.6841037352502245
MO,2016,1860104.0,5917603.0,0.3143340301808012,0.6856659698191987
MO,2017,1800880.0,5938665.0,0.3032466050871703,0.6967533949128297
MO,2018,1797323.0,5952011.0,0.3019690319792755,0.6980309680207244
MO,2019,1762793.0,5962950.0,0.2956243134690044,0.7043756865309956
MT,2005,258917.0,910651.0,0.2843207771143939,0.715679222885606
MT,2006,255003.0,919530.0,0.2773188476721803,0.7226811523278196
MT,2007,265361.0,931310.0,0.2849330512933395,0.7150669487066605
MT,2008,276274.0,940844.0,0.2936448550450447,0.7063551449549553
MT,2009,273301.0,948402.0,0.2881699954238814,0.7118300045761186
MT,2010,272392.0,962049.0,0.283137345395089,0.716862654604911
MT,2011,286880.0,969350.0,0.295950894929592,0.7040491050704081
MT,2012,307062.0,976286.0,0.3145205400876382,0.6854794599123617
MT,2013,313488.0,986368.0,0.3178205294575655,0.6821794705424344
MT,2014,334459.0,994692.0,0.3362437819948285,0.6637562180051715
MT,2015,312089.0,1004082.0,0.3108202318137363,0.6891797681862637
MT,2016,299258.0,1013648.0,0.2952287184505864,0.7047712815494136
MT,2017,282429.0,1021690.0,0.2764331646585559,0.7235668353414441
MT,2018,307693.0,1033340.0,0.2977654982871078,0.7022345017128921
MT,2019,288672.0,1039835.0,0.2776132751830819,0.722386724816918
NE,2005,470034.0,1706976.0,0.2753606377594061,0.7246393622405939
NE,2006,480207.0,1716244.0,0.2798011238495225,0.7201988761504774
NE,2007,476470.0,1721760.0,0.2767342719078152,0.7232657280921848
NE,2008,465602.0,1730439.0,0.2690658266486134,0.7309341733513866
NE,2009,500601.0,1742848.0,0.2872315887558754,0.7127684112441246
